,CBLOF,FB,HBOS,IF,AVG_KNN,Loc KNN,LOF,MCD,OCSVM,PCA
wine_benchmark_0905.csv,0.5214522390818982,0.4948717948717949,0.5358133660402705,0.5214522390818982,0.5097126299912677,0.49489795918367346,0.4948717948717949,0.5207761607761607,0.508159245723062,0.5214522390818982
wine_benchmark_0906.csv,0.508159245723062,0.5237118173403271,0.4948662523642259,0.4948662523642259,0.5284802732093107,0.5334964284239646,0.5245534651107406,0.508159245723062,0.508159245723062,0.508159245723062
wine_benchmark_0907.csv,0.4948662523642259,0.4948759439050701,0.4948662523642259,0.4948662523642259,0.49487456164014026,0.4949020660048296,0.4948704103671706,0.4948662523642259,0.4948662523642259,0.4948662523642259
wine_benchmark_0908.csv,0.4948662523642259,0.5097126299912677,0.4948662523642259,0.508159245723062,0.5092911138537488,0.4949006977992485,0.5097126299912677,0.508159245723062,0.49486763911399245,0.4948662523642259
wine_benchmark_0909.csv,0.4948662523642259,0.4948690251147718,0.4948662523642259,0.4948662523642259,0.4948704103671706,0.4949006977992485,0.4948662523642259,0.49486763911399245,0.49486763911399245,0.4948662523642259
wine_benchmark_0910.csv,0.4948662523642259,0.5237118173403271,0.4948662523642259,0.4948662523642259,0.5254460416360038,0.4949006977992485,0.5245534651107406,0.5221647903981776,0.508159245723062,0.508159245723062
wine_benchmark_0911.csv,0.508159245723062,0.5111398197445801,0.4948662523642259,0.4948662523642259,0.5101596101326269,0.5450388844194155,0.508892939658535,0.4948662523642259,0.5085162147560851,0.4948662523642259
wine_benchmark_0912.csv,0.508159245723062,0.5369407687460618,0.4948662523642259,0.5347452324407342,0.5229168542022985,0.4949020660048296,0.5358133660402705,0.5347452324407342,0.5214522390818982,0.5347452324407342
wine_benchmark_0913.csv,0.508159245723062,0.5101596101326269,0.5214522390818982,0.508159245723062,0.5284802732093107,0.5665963566634707,0.5092911138537488,0.508159245723062,0.508159245723062,0.508159245723062
wine_benchmark_0914.csv,0.4948662523642259,0.49487732542464274,0.508159245723062,0.4948690251147718,0.49487732542464274,0.4949020660048296,0.49486763911399245,0.4948662523642259,0.49486763911399245,0.49486763911399245
